Date,Price,Open,High,Low,Vol.,Change %
Jun 04 2019,25332.18,24962.82,25343.77,24962.82,281.69,0.0206
Jun 03 2019,24819.78,24830.16,24935.21,24680.57,328.24,0.0002
May 31 2019,24815.04,25046.31,25046.31,24809.51,292.23,-0.0141
May 30 2019,25169.88,25139.94,25218.54,25066.75,215.24,0.0017
May 29 2019,25126.41,25231.46,25231.46,24938.24,298.93,-0.0087
May 28 2019,25347.77,25616.55,25717.63,25342.28,364.85,-0.0093
May 24 2019,25585.69,25551.07,25670.81,25496.2,201.37,0.0037
May 23 2019,25490.47,25657.99,25657.99,25328.09,316.94,-0.0111
May 22 2019,25776.61,25818.46,25878.21,25755.11,241.76,-0.0039
May 21 2019,25877.33,25782.34,25898.27,25779.61,260.87,0.0077
May 20 2019,25679.9,25655.31,25751.71,25560.55,279.56,-0.0033
May 17 2019,25764,25719.95,25948.74,25657.78,283.76,-0.0038
May 16 2019,25862.68,25692.14,25957.63,25692.14,320.96,0.0084
May 15 2019,25648.02,25400.13,25724.89,25341.94,270.72,0.0045
May 14 2019,25532.05,25384.03,25688.96,25384.03,291.57,0.0082
May 13 2019,25324.99,25568.06,25568.06,25222.51,361.24,-0.0238
May 10 2019,25942.37,25763.72,26019.32,25469.86,294.58,0.0044
May 09 2019,25828.36,25878.85,25884.89,25517.39,334.76,-0.0054
May 08 2019,25967.33,25933.79,26118.1,25889.41,276.42,0.0001
May 07 2019,25965.09,26276.9,26276.9,25789.71,334.96,-0.0179
May 06 2019,26438.48,26160.62,26476.27,26033.95,283.02,-0.0025
May 03 2019,26504.95,26379.14,26534.96,26370.09,248.90,0.0075
May 02 2019,26307.79,26407.15,26454.69,26180.36,287.61,-0.0046
May 01 2019,26430.14,26639.06,26689.39,26426.38,303.85,-0.0061
Apr 30 2019,26592.91,26594.56,26614.04,26419.47,340.32,0.0015
Apr 29 2019,26554.39,26559.87,26602.54,26520.75,279.45,0.0004
Apr 26 2019,26543.33,26454.62,26543.56,26392.55,317.29,0.0031
Apr 25 2019,26462.08,26426.37,26536.48,26310.28,296.73,-0.0051
Apr 24 2019,26597.05,26652.56,26680.58,26582.86,283.37,-0.0022
Apr 23 2019,26656.39,26513.83,26695.96,26503.56,311.69,0.0055
Apr 22 2019,26511.05,26510.77,26553.05,26458.61,232.57,-0.0018
Apr 18 2019,26559.54,26463.37,26602.42,26444.53,332.85,0.0042
Apr 17 2019,26449.54,26468.53,26501.02,26391.86,367.78,-0.0001
Apr 16 2019,26452.66,26482.19,26530.71,26397.19,302.34,0.0026
Apr 15 2019,26384.77,26407.76,26424.85,26316.42,250.62,-0.001
Apr 12 2019,26412.3,26357.79,26436.68,26309.72,369.91,0.0103
Apr 11 2019,26143.05,26188.21,26229.88,26062.59,211.68,-0.0005
Apr 10 2019,26157.16,26173.71,26209.49,26101.24,203.13,0.0003
Apr 09 2019,26150.58,26243.54,26246.34,26103.14,244.41,-0.0072
Apr 08 2019,26341.02,26312.67,26344.65,26246.03,229.38,-0.0032
Apr 05 2019,26424.99,26427.56,26487.57,26370.82,229.55,0.0015
Apr 04 2019,26384.63,26213.42,26398.9,26212.78,233.04,0.0064
Apr 03 2019,26218.13,26238.03,26282.17,26138.47,271.98,0.0015
Apr 02 2019,26179.13,26213.55,26221.24,26122.31,250.94,-0.003
Apr 01 2019,26258.42,26075.1,26280.9,26071.69,295.57,0.0127
Mar 29 2019,25928.68,25827.31,25949.32,25771.67,300.62,0.0082
Mar 28 2019,25717.46,25693.32,25743.41,25576.69,237.17,0.0036
Mar 27 2019,25625.59,25676.34,25758.17,25425.27,270.34,-0.0013
Mar 26 2019,25657.73,25649.56,25796.29,25544.78,305.11,0.0055
Mar 25 2019,25516.83,25490.72,25603.27,25372.26,303.12,0.0006
Mar 22 2019,25502.32,25844.65,25877.01,25501.45,386.51,-0.0177
Mar 21 2019,25962.51,25688.44,26009.9,25657.78,335.25,0.0084
Mar 20 2019,25745.67,25867.79,25929.52,25670.63,321.98,-0.0055
Mar 19 2019,25887.38,25987.87,26109.68,25814.92,342.25,-0.001
Mar 18 2019,25914.1,25801.88,25924.77,25785.66,303.17,0.0025
Mar 15 2019,25848.87,25720.96,25927.91,25649.7,616.91,0.0054
Mar 14 2019,25709.94,25692.31,25752.84,25621.31,302.79,0.0003
Mar 13 2019,25702.89,25637.23,25776.49,25571.31,331.41,0.0058
Mar 12 2019,25554.66,25600.3,25675.44,25522.17,312.52,-0.0038
Mar 11 2019,25650.88,25208,25661.63,25208,309.79,0.0079
Mar 08 2019,25450.24,25347.38,25466.14,25252.46,270.50,-0.0009
Mar 07 2019,25473.23,25645.45,25645.45,25352.55,289.14,-0.0078
Mar 06 2019,25673.46,25818.76,25837.61,25633.71,256.25,-0.0052
Mar 05 2019,25806.63,25829.07,25877.15,25725.63,252.26,-0.0005
Mar 04 2019,25819.65,26122.19,26155.98,25611.55,295.51,-0.0079
Mar 01 2019,26026.32,26019.67,26143.92,25914.37,289.89,0.0043
Feb 28 2019,25916,25984.28,26029.21,25896.56,338.52,-0.0027
Feb 27 2019,25985.16,25995.6,26039.68,25877.24,255.38,-0.0028
Feb 26 2019,26057.98,26051.61,26155.29,25966.01,257.85,-0.0013
Feb 25 2019,26091.95,26126.15,26241.42,26080.66,281.60,0.0023
Feb 22 2019,26031.81,25906.27,26052.9,25906.27,279.76,0.007
Feb 21 2019,25850.63,25922.41,25938.88,25762.21,255.71,-0.004
Feb 20 2019,25954.44,25872.26,25986.2,25846.48,287.88,0.0024
Feb 19 2019,25891.32,25849.85,25961.44,25820.01,280.62,0.0003
Feb 15 2019,25883.25,25564.63,25883.72,25564.63,328.53,0.0174
Feb 14 2019,25439.39,25460.65,25558.9,25308.09,313.01,-0.0041
Feb 13 2019,25543.27,25480.86,25625.95,25480.86,263.33,0.0046
Feb 12 2019,25425.76,25152.03,25458.98,25152.03,278.11,0.0149
Feb 11 2019,25053.11,25142.81,25196.75,25009.1,241.70,-0.0021
Feb 08 2019,25106.33,25042.36,25106.39,24883.04,248.21,-0.0025
Feb 07 2019,25169.53,25265.81,25314.26,25000.52,295.46,-0.0087
Feb 06 2019,25390.3,25371.57,25439.04,25312.06,247.59,-0.0008
