Date,predicted_mean
6/30/2015,17572.768
7/1/2015,17541.201
7/2/2015,17533.17
7/6/2015,17491.844
7/7/2015,17444.855
7/8/2015,17567.11
7/9/2015,17721.346
7/10/2015,17860.025
7/13/2015,17900.752
7/14/2015,17941.498
7/15/2015,17941.357
7/16/2015,17923.363
7/17/2015,17840.984
7/20/2015,17748.836
7/21/2015,17650.941
7/22/2015,17506.957
7/23/2015,17389.633
7/24/2015,17438.201
7/27/2015,17530.33
7/28/2015,17587.344
7/29/2015,17543.727
7/30/2015,17491.287
7/31/2015,17442.803
8/3/2015,17407.514
8/4/2015,17338.213
8/5/2015,17286.184
8/6/2015,17336.068
8/7/2015,17326.385
8/10/2015,17260.465
8/11/2015,17255.566
8/12/2015,17303.342
8/13/2015,17353.828
8/14/2015,17369.877
8/17/2015,17248.32
8/18/2015,16977.572
8/19/2015,16488.234
8/20/2015,16124.753
8/21/2015,15842.784
8/24/2015,16031.632
8/25/2015,16364.071
8/26/2015,16481.797
8/27/2015,16391.5
8/28/2015,16181.09
8/31/2015,16181.802
9/1/2015,16214.461
9/2/2015,16135.374
9/3/2015,16207.756
9/4/2015,16233.364
9/8/2015,16221.088
9/9/2015,16241.389
9/10/2015,16267.211
9/11/2015,16398.535
9/14/2015,16550.51
9/15/2015,16527.318
9/16/2015,16472.291
9/17/2015,16427.47
9/18/2015,16271.21
9/21/2015,16160.851
9/22/2015,16127.721
9/23/2015,16131.124
9/24/2015,16025.91
9/25/2015,15950.501
9/28/2015,16073.398
9/29/2015,16156.857
9/30/2015,16280.461
10/1/2015,16502.166
10/2/2015,16648.203
10/5/2015,16747.975
10/6/2015,16869.092
10/7/2015,16924.053
10/8/2015,16994.559
10/9/2015,16924.934
10/12/2015,16895.025
10/13/2015,16945.246
10/14/2015,17034.63
10/15/2015,17084.451
10/16/2015,17104.33
10/19/2015,17106.904
10/20/2015,17248.838
10/21/2015,17460.295
10/22/2015,17482.51
10/23/2015,17495.52
10/26/2015,17561.268
10/27/2015,17616.086
10/28/2015,17605.527
10/29/2015,17662.932
10/30/2015,17714.262
11/2/2015,17736.57
11/3/2015,17717.547
11/4/2015,17720.756
11/5/2015,17682.105
11/6/2015,17621.902
11/9/2015,17578.168
11/10/2015,17416.643
11/11/2015,17226.854
11/12/2015,17273.73
11/13/2015,17373.695
11/16/2015,17502.756
11/17/2015,17590.822
11/18/2015,17662.363
11/19/2015,17687.25
11/20/2015,17662.35
11/23/2015,17670.209
11/24/2015,17637.795
11/25/2015,17627.729
11/27/2015,17684.223
11/30/2015,17620.053
12/1/2015,17509.068
12/2/2015,17573.47
12/3/2015,17584.43
12/4/2015,17502.07
12/7/2015,17430.953
12/8/2015,17390.037
12/9/2015,17267.67
12/10/2015,17269.361
12/11/2015,17348.588
12/14/2015,17505.564
12/15/2015,17409.465
12/16/2015,17250.45
12/17/2015,17221.135
12/18/2015,17223.986
12/21/2015,17356.873
12/22/2015,17406.256
12/23/2015,17413.467
12/24/2015,17458.28
12/28/2015,17473.188
12/29/2015,17300.934
12/30/2015,17121.525
12/31/2015,17006.184
1/4/2016,16841.324
1/5/2016,16596.096
1/6/2016,16378.636
1/7/2016,16306.545
1/8/2016,16331.751
1/11/2016,16229.539
1/12/2016,16166.856
1/13/2016,16083.86
1/14/2016,15883.67
1/15/2016,15778.269
1/19/2016,15802.491
1/20/2016,15906.246
1/21/2016,15914.811
1/22/2016,15908.4795
1/25/2016,15912.705
1/26/2016,15981.45
1/27/2016,16188.837
1/28/2016,16314.6045
1/29/2016,16187.292
2/1/2016,16206.595
2/2/2016,16243.353
2/3/2016,16145.724
2/4/2016,16010.129
2/5/2016,15934.276
2/8/2016,15819.677
2/9/2016,15700.097
2/10/2016,15790.695
2/11/2016,16018.629
2/12/2016,16246.333
2/16/2016,16306.253
2/17/2016,16289.436
2/18/2016,16413.654
2/19/2016,16332.245
2/22/2016,16374.926
2/23/2016,16441.654
2/24/2016,16529.197
2/25/2016,16501.543
2/26/2016,16618.914
2/29/2016,16724.275
3/1/2016,16786.83
3/2/2016,16834.021
3/3/2016,16887.959
3/4/2016,16868.281
3/7/2016,16867.535
3/8/2016,16895.668
3/9/2016,16995.492
3/10/2016,17093.22
3/11/2016,17092.777
3/14/2016,17144.086
3/15/2016,17277.887
3/16/2016,17450.719
3/17/2016,17535.746
3/18/2016,17450.457
3/21/2016,17389.035
3/22/2016,17362.11
3/23/2016,17360.379
3/24/2016,17463.719
3/28/2016,17534.432
3/29/2016,17574.184
3/30/2016,17620.664
3/31/2016,17592.525
4/1/2016,17545.87
4/4/2016,17526.598
4/5/2016,17476.562
4/6/2016,17453.822
4/7/2016,17451.37
4/8/2016,17543.398
4/11/2016,17661.842
4/12/2016,17750.783
